dataset,sample_index,audio_path,true_indices,iKnow_rank,AAKV_only_rank,Selector_only_rank,AAKV_plus_Selector_rank,Full_TFS_rank,TS_selected_relations
UrbanSound8K,5867,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold4/24632-6-0-0.wav,[6],2,4,2,1,3,"[""scene contains"", ""is a type of"", ""is instance of"", ""precedes"", ""co-occurs with""]"
UrbanSound8K,4591,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold3/186336-9-0-4.wav,[9],3,4,2,1,1,"[""triggers"", ""has timbre"", ""caused by"", ""is sound of"", ""originates from""]"
UrbanSound8K,4486,/data/zkx/zkx/iknow-audio/data/UrbanSound8K/UrbanSound8K/audio/fold6/184805-0-0-32.wav,[0],3,4,1,1,1,"[""emotionally associated with"", ""performed by"", ""has duration"", ""invites action"", ""produces""]"
FSD50K,8760,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/121011.wav,"[38, 11]",2,5,1,1,1,"[""used for"", ""produces"", ""generated by"", ""has loudness"", ""co-occurs with""]"
FSD50K,8064,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/35287.wav,"[45, 11]",2,5,1,1,1,"[""is a type of"", ""invites action"", ""emitted by"", ""emotionally associated with"", ""affects""]"
FSD50K,9558,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/171451.wav,"[117, 61]",1,4,1,1,1,"[""precedes"", ""emotionally associated with"", ""affects"", ""overlaps with"", ""follows""]"
FSD50K,8937,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/106020.wav,"[10, 61]",3,4,1,1,1,"[""perceived as"", ""has duration"", ""has pitch"", ""is variant of"", ""follows""]"
FSD50K,8081,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/350708.wav,"[45, 11]",1,4,1,1,1,"[""co-occurs with"", ""emitted by"", ""invites action"", ""emotionally associated with"", ""performed by""]"
FSD50K,8071,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/350709.wav,"[45, 11]",1,4,1,1,1,"[""co-occurs with"", ""follows"", ""emitted by"", ""has loudness"", ""performed by""]"
FSD50K,8047,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/35286.wav,"[45, 11]",1,4,1,1,1,"[""caused by"", ""is a type of"", ""is instance of"", ""generated by"", ""has loudness""]"
FSD50K,8043,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/350710.wav,"[45, 11]",3,4,2,1,1,"[""invites action"", ""originates from"", ""co-occurs with"", ""entails event"", ""emotionally associated with""]"
FSD50K,7285,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/71574.wav,"[76, 10, 108, 61]",1,4,1,1,1,"[""has timbre"", ""performed by"", ""overlaps with"", ""emotionally associated with"", ""triggers""]"
FSD50K,6671,/data/zkx/zkx/iknow-audio/data/FSD50K-1/FSD50K.eval_audio/353135.wav,"[198, 148, 101]",1,4,1,1,1,"[""precedes"", ""has pitch"", ""entails event"", ""can be heard in"", ""associated with environment""]"
AudioSet,4817,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/EKGUsba1wXI.wav,"[130, 0]",2,7,1,1,1,"[""responds to"", ""part of scene"", ""is variant of"", ""associated with environment"", ""performed by""]"
AudioSet,15935,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/uMQb9LCNGxs.wav,[255],2,5,2,1,1,"[""perceived as"", ""indicates"", ""originates from"", ""is variant of"", ""produced during""]"
AudioSet,15154,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/r5Or6-HOveg.wav,"[185, 188]",3,5,1,1,1,"[""occurs in"", ""triggers"", ""generated by"", ""requires attention"", ""invites action""]"
AudioSet,15089,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/qni67aUJbw4.wav,"[137, 182]",2,5,2,1,1,"[""event composed of"", ""scene contains"", ""follows"", ""produces"", ""is instance of""]"
AudioSet,14952,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/qBdYnRhdWcQ.wav,"[5, 0, 7]",8,5,8,1,1,"[""has subtype"", ""temporal component of"", ""is variant of"", ""co-occurs with"", ""used for""]"
AudioSet,14933,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/q6uhJr7OCas.wav,[178],1,5,1,1,1,"[""temporal component of"", ""linked to visual"", ""has timbre"", ""has pitch"", ""event composed of""]"
AudioSet,13303,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/izSRjdYln8E.wav,"[185, 188]",4,5,1,1,1,"[""linked to visual"", ""triggers"", ""follows"", ""entails event"", ""requires attention""]"
AudioSet,12127,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/eQmHNxPv4bM.wav,[178],1,5,1,1,1,"[""overlaps with"", ""has pitch"", ""linked to visual"", ""temporal component of"", ""entails event""]"
AudioSet,10828,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/_IdzMujZ6vQ.wav,"[0, 71, 510]",5,5,3,1,4,"[""responds to"", ""triggers"", ""has duration"", ""originates from"", ""is instance of""]"
AudioSet,8317,/data/zkx/zkx/iknow-audio/data/audioset/eval_wavs/Qn7EQBXrKwI.wav,"[173, 161]",2,5,1,1,1,"[""overlaps with"", ""scene contains"", ""perceived as"", ""has subtype"", ""described by""]"
TUT2017,4604,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b077_50_60.wav,[14],2,4,1,1,1,"[""generated by"", ""is a type of"", ""perceived as"", ""has pitch"", ""emitted by""]"
TUT2017,3476,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b080_140_150.wav,[14],3,4,1,1,1,"[""responds to"", ""perceived as"", ""temporal component of"", ""generated by"", ""emitted by""]"
TUT2017,3444,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/a151_260_270.wav,[14],2,4,2,1,1,"[""invites action"", ""event composed of"", ""scene contains"", ""overlaps with"", ""performed by""]"
TUT2017,3406,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/a148_270_280.wav,[14],2,4,1,1,1,"[""temporal component of"", ""generated by"", ""emitted by"", ""has pitch"", ""overlaps with""]"
TUT2017,3299,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b079_100_110.wav,[14],2,4,1,1,1,"[""generated by"", ""perceived as"", ""is a type of"", ""responds to"", ""emitted by""]"
TUT2017,3284,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b079_80_90.wav,[14],1,4,1,1,1,"[""is a type of"", ""scene contains"", ""temporal component of"", ""perceived as"", ""emitted by""]"
TUT2017,2960,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/a003_90_100.wav,[12],4,4,4,1,2,"[""has loudness"", ""associated with environment"", ""temporal component of"", ""precedes"", ""used for""]"
TUT2017,2881,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b004_0_10.wav,[12],5,4,5,1,1,"[""generated by"", ""linked to visual"", ""is instance of"", ""has timbre"", ""follows""]"
TUT2017,2150,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b073_140_150.wav,[9],3,4,2,1,1,"[""associated with event"", ""affects"", ""perceived as"", ""used for"", ""has children""]"
TUT2017,1521,/data/zkx/zkx/iknow-audio/data/TUT2017/development/TUT-acoustic-scenes-2017-development/audio/b106_70_80.wav,[6],1,4,1,1,1,"[""linked to visual"", ""occurs in"", ""has children"", ""co-occurs with"", ""localized in""]"
