dataset,relation,top1_count,top1_percent,included_count,included_percent,in_frozen_iKnow_relation_set
UrbanSound8K,temporal component of,201,2.3018781493357765,945,10.82226294090701,False
UrbanSound8K,transcribed as,484,5.54283096655978,1266,14.498396701786533,False
UrbanSound8K,triggers,110,1.2597343105817682,758,8.680714612918003,False
UrbanSound8K,used for,74,0.847457627118644,852,9.757214841960606,True
UrbanSound8K,warns about,62,0.7100320659642694,440,5.038937242327073,False
FSD50K,affects,479,4.681849281595152,1326,12.960609911054638,False
FSD50K,associated with environment,178,1.7398103802169875,1006,9.83286091291174,False
FSD50K,associated with event,174,1.7007135177402013,1115,10.898250415404164,False
FSD50K,belongs to class,161,1.5736487146906462,1147,11.211025315218453,True
FSD50K,can be heard in,228,2.2285211611768156,1350,13.195191085915356,False
FSD50K,caused by,325,3.1766200762388817,1452,14.192161079073404,False
FSD50K,co-occurs with,335,3.2743622324308475,1590,15.54100283452253,False
FSD50K,described by,263,2.5706187078486953,1067,10.429088065682729,False
FSD50K,emitted by,162,1.5834229303098426,928,9.070472094614408,False
FSD50K,emotionally associated with,235,2.2969406705111917,1138,11.123057374645684,False
FSD50K,entails event,169,1.6518424396442186,1148,11.22079953083765,False
FSD50K,event composed of,252,2.463102336037533,1036,10.126087381487636,False
FSD50K,follows,303,2.9615873326165576,1429,13.967354119831883,False
FSD50K,generated by,175,1.710487733359398,1034,10.106538950249243,False
FSD50K,has children,383,3.7435245821522822,1685,16.469553318346204,False
FSD50K,has duration,129,1.260873814876356,921,9.002052585280031,False
FSD50K,has loudness,139,1.3586159710683217,840,8.21034112012511,False
FSD50K,has parent,171,1.6713908708826117,1085,10.605023946828267,True
FSD50K,has pitch,166,1.6225197927866288,896,8.757697194800118,False
FSD50K,has sibling,161,1.5736487146906462,1116,10.90802463102336,False
FSD50K,has subtype,290,2.8345225295670025,1370,13.390675398299287,False
FSD50K,has timbre,106,1.0360668556348354,732,7.154725833251882,False
FSD50K,indicates,167,1.6322940084058255,991,9.68624767862379,False
FSD50K,invites action,156,1.5247776365946633,758,7.408855439350992,False
FSD50K,is a type of,605,5.913400449613919,1696,16.577069690157366,True
FSD50K,is instance of,191,1.866875183266543,1083,10.585475515589874,False
FSD50K,is sound of,258,2.521747629752712,1191,11.641090802463102,False
FSD50K,is variant of,332,3.2450395855732577,1496,14.622226566318053,False
FSD50K,linked to visual,193,1.886423614504936,797,7.790049848499658,False
FSD50K,localized in,81,0.7917114651549213,585,5.717916137229987,False
FSD50K,occurs in,163,1.5931971459290393,959,9.3734727788095,False
FSD50K,originates from,144,1.4074870491643046,1011,9.881731991007722,False
FSD50K,overlaps with,249,2.4337796891799433,1175,11.484703352555957,False
FSD50K,part of scene,119,1.1631316586843905,842,8.229889551363502,False
FSD50K,perceived as,168,1.642068224025022,1004,9.813312481673346,False
FSD50K,performed by,272,2.658586648421464,1199,11.719284527416674,False
FSD50K,precedes,220,2.150327436223243,1163,11.367412765125598,False
FSD50K,produced during,119,1.1631316586843905,847,8.278760629459486,False
FSD50K,produces,374,3.6555566415795133,1290,12.608738148763562,False
FSD50K,requires attention,200,1.9548431238393118,870,8.503567588701006,False
FSD50K,responds to,167,1.6322940084058255,970,9.480989150620662,False
FSD50K,scene contains,194,1.8961978301241325,1072,10.477959143778712,False
FSD50K,temporal component of,154,1.5052292053562701,890,8.699051901084937,False
FSD50K,transcribed as,183,1.7886814583129704,923,9.021601016518424,False
FSD50K,triggers,192,1.8766493988857393,1006,9.83286091291174,False
FSD50K,used for,253,2.4728765516567295,1168,11.416283843221581,False
FSD50K,warns about,93,0.90900205258528,758,7.408855439350992,False
AudioSet,affects,1194,6.928567283699878,2550,14.797191435037428,False
AudioSet,associated with environment,410,2.3791562699471944,2202,12.777810015667615,False
AudioSet,associated with event,364,2.11222654209946,2289,13.282655370510067,False
AudioSet,belongs to class,234,1.3578599199210817,1823,10.57854117100911,True
AudioSet,can be heard in,279,1.6189868275982127,2092,12.139499796901294,False
AudioSet,caused by,343,1.9903673185167992,2300,13.3464863923867,False
AudioSet,co-occurs with,369,2.141240642952475,2244,13.021528462832936,False
AudioSet,described by,322,1.868508094934138,1842,10.688794754250566,False
AudioSet,emitted by,324,1.8801137352753439,2064,11.977020832124412,False
AudioSet,emotionally associated with,466,2.7041141995009577,1922,11.1530203678988,False
AudioSet,entails event,353,2.048395520222828,1880,10.909301920733476,False
AudioSet,event composed of,321,1.862705274763535,1843,10.694597574421168,False
AudioSet,follows,535,3.1045087912725586,2247,13.038936923344746,False
AudioSet,generated by,175,1.0154935298555097,1402,8.135553879185284,False
AudioSet,has children,367,2.129635002611269,1779,10.323217083502582,True
AudioSet,has duration,184,1.067718911390936,1438,8.34445540532699,False
AudioSet,has loudness,396,2.2979167875587536,1727,10.021470434631231,False
AudioSet,has parent,149,0.8646202054198341,1230,7.137468809841583,True
AudioSet,has pitch,294,1.7060291301572563,1664,9.655892763883248,False
AudioSet,has sibling,273,1.5841699065745953,1615,9.371554575523705,False
AudioSet,has subtype,415,2.408170370800209,1943,11.27487959148146,False
AudioSet,has timbre,314,1.8220855335693147,1650,9.574653281494806,False
AudioSet,indicates,295,1.7118319503278594,1788,10.375442465038008,False
AudioSet,invites action,394,2.286311147217548,1838,10.665583473568153,False
AudioSet,is a type of,1061,6.156792201009691,2784,16.15505135495851,True
AudioSet,is instance of,578,3.3540300586084837,2298,13.334880752045494,False
AudioSet,is sound of,524,3.0406777693959266,2201,12.772007195497011,False
AudioSet,is variant of,435,2.5242267742122673,2031,11.785527766494516,False
AudioSet,linked to visual,446,2.5880577960888993,1990,11.547612139499797,False
AudioSet,localized in,69,0.40039459177160097,899,5.216735333372019,False
AudioSet,occurs in,254,1.4739163233331398,1597,9.267103812452852,False
AudioSet,originates from,195,1.131549933267568,1354,7.857018510996344,False
AudioSet,overlaps with,581,3.3714385191202925,2154,12.499274647478675,False
AudioSet,part of scene,269,1.5609586258921837,1804,10.468287587767655,False
AudioSet,perceived as,219,1.270817617362038,1568,9.098822027505367,False
AudioSet,performed by,333,1.93233911681077,1847,10.71780885510358,False
AudioSet,precedes,452,2.622874717112517,2082,12.081471595195264,False
AudioSet,produced during,169,0.9806766088318923,1198,6.951778564382289,False
AudioSet,produces,368,2.135437822781872,1925,11.170428828410607,False
AudioSet,requires attention,267,1.5493529855509778,1466,8.50693437010387,False
AudioSet,responds to,331,1.9207334764695643,1673,9.708118145418673,False
AudioSet,scene contains,321,1.862705274763535,1647,9.557244820982998,False
AudioSet,temporal component of,465,2.6983113793303546,2037,11.820344687518133,False
AudioSet,transcribed as,256,1.4855219636743457,1463,8.489525909592063,False
AudioSet,triggers,393,2.280508327046945,1765,10.241977601114142,False
AudioSet,used for,306,1.7756629722044914,1777,10.311611443161377,False
AudioSet,warns about,171,0.9922822491730982,1233,7.154877270353392,False
TUT2017,affects,78,1.6666666666666667,312,6.666666666666667,False
TUT2017,associated with environment,119,2.5427350427350426,422,9.017094017094017,False
TUT2017,associated with event,50,1.0683760683760684,409,8.739316239316238,False
TUT2017,belongs to class,23,0.49145299145299143,344,7.35042735042735,False
TUT2017,can be heard in,76,1.623931623931624,652,13.931623931623932,False
TUT2017,caused by,45,0.9615384615384616,365,7.799145299145299,False
TUT2017,co-occurs with,64,1.3675213675213675,576,12.307692307692308,False
TUT2017,described by,18,0.38461538461538464,183,3.91025641025641,True
TUT2017,emitted by,16,0.3418803418803419,336,7.17948717948718,False
TUT2017,emotionally associated with,37,0.7905982905982906,278,5.94017094017094,False
TUT2017,entails event,49,1.047008547008547,360,7.6923076923076925,False
TUT2017,event composed of,113,2.4145299145299144,785,16.773504273504273,True
TUT2017,follows,267,5.705128205128205,698,14.914529914529915,False
TUT2017,generated by,79,1.688034188034188,384,8.205128205128204,False
TUT2017,has children,71,1.517094017094017,556,11.88034188034188,False
TUT2017,has duration,231,4.935897435897436,787,16.816239316239315,False
TUT2017,has loudness,185,3.952991452991453,590,12.606837606837606,False
TUT2017,has parent,84,1.794871794871795,521,11.132478632478632,True
TUT2017,has pitch,71,1.517094017094017,429,9.166666666666666,False
TUT2017,has sibling,174,3.717948717948718,687,14.679487179487179,False
TUT2017,has subtype,40,0.8547008547008547,281,6.004273504273504,False
TUT2017,has timbre,112,2.393162393162393,552,11.794871794871796,False
TUT2017,indicates,89,1.9017094017094016,482,10.2991452991453,False
TUT2017,invites action,104,2.2222222222222223,428,9.145299145299145,False
TUT2017,is a type of,162,3.4615384615384617,861,18.397435897435898,False
TUT2017,is instance of,70,1.4957264957264957,572,12.222222222222221,False
TUT2017,is sound of,87,1.858974358974359,621,13.26923076923077,False
TUT2017,is variant of,86,1.8376068376068375,483,10.320512820512821,True
TUT2017,linked to visual,46,0.9829059829059829,407,8.696581196581196,False
TUT2017,localized in,134,2.8632478632478633,500,10.683760683760683,False
TUT2017,occurs in,87,1.858974358974359,360,7.6923076923076925,False
TUT2017,originates from,31,0.6623931623931624,287,6.132478632478633,False
TUT2017,overlaps with,237,5.064102564102564,694,14.82905982905983,False
TUT2017,part of scene,46,0.9829059829059829,388,8.290598290598291,False
TUT2017,perceived as,29,0.6196581196581197,338,7.222222222222222,False
TUT2017,performed by,44,0.9401709401709402,385,8.226495726495726,False
TUT2017,precedes,70,1.4957264957264957,620,13.247863247863247,False
TUT2017,produced during,100,2.1367521367521367,572,12.222222222222221,False
TUT2017,produces,148,3.1623931623931623,571,12.2008547008547,False
TUT2017,requires attention,53,1.1324786324786325,346,7.3931623931623935,False
TUT2017,responds to,131,2.799145299145299,522,11.153846153846153,False
TUT2017,scene contains,103,2.200854700854701,579,12.371794871794872,True
TUT2017,temporal component of,459,9.807692307692308,973,20.79059829059829,False
TUT2017,transcribed as,81,1.7307692307692308,422,9.017094017094017,False
TUT2017,triggers,123,2.628205128205128,643,13.739316239316238,False
TUT2017,used for,71,1.517094017094017,371,7.927350427350428,False
TUT2017,warns about,87,1.858974358974359,468,10.0,False
