dataset,comparison,sample_index,audio_path,true_indices,iKnow_rank,new_rank,delta_reciprocal_rank,Hit@1_transition
ESC-50,F-vs-iKnow,19,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115545-C-48.wav,[23],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,20,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115546-A-48.wav,[23],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,21,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115920-A-22.wav,[9],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,22,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115920-B-22.wav,[9],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,23,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-115921-A-22.wav,[9],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,24,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-116765-A-41.wav,[6],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,25,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-11687-A-47.wav,[0],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,26,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-118206-A-31.wav,[33],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,27,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-118559-A-17.wav,[35],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,28,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-119125-A-45.wav,[45],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,29,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-121951-A-8.wav,[39],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,30,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-12653-A-15.wav,[48],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,31,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-12654-A-15.wav,[48],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,32,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-12654-B-15.wav,[48],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,33,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-13571-A-46.wav,[8],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,34,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-13572-A-46.wav,[8],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,35,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-13613-A-37.wav,[10],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,36,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-137-A-32.wav,[31],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,37,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-137296-A-16.wav,[49],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,38,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-14262-A-37.wav,[10],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,39,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-A-25.wav,[24],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,40,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-B-25.wav,[24],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,41,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-C-25.wav,[24],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,42,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-D-25.wav,[24],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,43,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-E-25.wav,[24],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,44,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-155858-F-25.wav,[24],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,45,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-15689-A-4.wav,[25],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,46,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-15689-B-4.wav,[25],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,47,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-160563-A-48.wav,[23],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,48,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-160563-B-48.wav,[23],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,49,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-16568-A-3.wav,[13],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,50,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-16746-A-15.wav,[48],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,51,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17092-A-27.wav,[2],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,52,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17092-B-27.wav,[2],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,53,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17124-A-43.wav,[4],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,54,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17150-A-12.wav,[14],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,55,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-172649-A-40.wav,[28],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,56,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-172649-B-40.wav,[28],2,1,0.5,wrong_to_correct
ESC-50,F-vs-iKnow,57,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-172649-C-40.wav,[28],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,58,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-172649-D-40.wav,[28],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,59,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-172649-E-40.wav,[28],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,60,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-172649-F-40.wav,[28],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,61,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17295-A-29.wav,[21],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,62,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17367-A-10.wav,[36],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,63,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17565-A-12.wav,[14],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,64,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17585-A-7.wav,[30],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,65,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17742-A-12.wav,[14],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,66,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17808-A-12.wav,[14],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,67,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17808-B-12.wav,[14],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,68,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-1791-A-26.wav,[32],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,69,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-17970-A-4.wav,[25],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,70,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-18074-A-6.wav,[29],20,20,0.0,both_wrong
ESC-50,F-vs-iKnow,71,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-18074-B-6.wav,[29],15,15,0.0,both_wrong
ESC-50,F-vs-iKnow,72,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-181071-A-40.wav,[28],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,73,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-181071-B-40.wav,[28],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,74,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-18527-A-44.wav,[22],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,75,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-18527-B-44.wav,[22],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,76,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-18631-A-23.wav,[1],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,77,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-18655-A-31.wav,[33],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,78,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-187207-A-20.wav,[17],1,2,-0.5,correct_to_wrong
ESC-50,F-vs-iKnow,79,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-18755-A-4.wav,[25],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,80,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-18755-B-4.wav,[25],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,81,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-18757-A-4.wav,[25],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,82,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-18810-A-49.wav,[27],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,83,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-19026-A-43.wav,[4],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,84,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-19111-A-24.wav,[12],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,85,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-19118-A-24.wav,[12],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,86,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-19501-A-7.wav,[30],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,87,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-196660-A-8.wav,[39],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,88,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-196660-B-8.wav,[39],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,89,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-19840-A-36.wav,[46],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,90,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-19872-A-36.wav,[46],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,91,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-19872-B-36.wav,[46],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,92,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-19898-A-41.wav,[6],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,93,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-19898-B-41.wav,[6],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,94,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-19898-C-41.wav,[6],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,95,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-20133-A-39.wav,[26],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,96,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-202111-A-3.wav,[13],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,97,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-20545-A-28.wav,[42],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,98,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-20736-A-18.wav,[44],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,99,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-208757-A-2.wav,[34],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,100,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-208757-B-2.wav,[34],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,101,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-208757-C-2.wav,[34],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,102,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-208757-D-2.wav,[34],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,103,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-208757-E-2.wav,[34],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,104,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-211527-A-20.wav,[17],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,105,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-211527-B-20.wav,[17],2,1,0.5,wrong_to_correct
ESC-50,F-vs-iKnow,106,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-211527-C-20.wav,[17],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,107,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-21189-A-10.wav,[36],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,108,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-21421-A-46.wav,[8],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,109,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-21896-A-35.wav,[47],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,110,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-21934-A-38.wav,[11],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,111,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-21935-A-38.wav,[11],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,112,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-223162-A-25.wav,[24],2,2,0.0,both_wrong
ESC-50,F-vs-iKnow,113,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-22694-A-20.wav,[17],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,114,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-22694-B-20.wav,[17],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,115,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-22804-A-46.wav,[8],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,116,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-22882-A-44.wav,[22],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,117,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-23094-A-15.wav,[48],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,118,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-23094-B-15.wav,[48],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,119,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-23222-A-19.wav,[43],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,120,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-23222-B-19.wav,[43],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,121,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-23706-A-49.wav,[27],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,122,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-23996-A-35.wav,[47],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,123,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-23996-B-35.wav,[47],1,2,-0.5,correct_to_wrong
ESC-50,F-vs-iKnow,124,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-24074-A-43.wav,[4],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,125,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-24076-A-43.wav,[4],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,126,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-24524-A-19.wav,[43],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,127,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-24524-B-19.wav,[43],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,128,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-24524-C-19.wav,[43],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,129,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-24796-A-47.wav,[0],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,130,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-254507-A-43.wav,[4],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,131,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-25777-A-48.wav,[23],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,132,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-25781-A-48.wav,[23],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,133,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-260640-A-2.wav,[34],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,134,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-260640-B-2.wav,[34],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,135,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-260640-C-2.wav,[34],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,136,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-26143-A-21.wav,[41],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,137,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-26176-A-43.wav,[4],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,138,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-26177-A-43.wav,[4],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,139,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-26188-A-30.wav,[20],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,140,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-26222-A-10.wav,[36],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,141,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-26806-A-1.wav,[37],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,142,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-27165-A-35.wav,[47],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,143,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-27166-A-35.wav,[47],2,2,0.0,both_wrong
ESC-50,F-vs-iKnow,144,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-27403-A-28.wav,[42],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,145,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-27405-A-28.wav,[42],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,146,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-27724-A-1.wav,[37],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,147,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-28005-A-18.wav,[44],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,148,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-28135-A-11.wav,[38],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,149,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-28135-B-11.wav,[38],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,150,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-28808-A-43.wav,[4],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,151,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-29532-A-16.wav,[49],5,5,0.0,both_wrong
ESC-50,F-vs-iKnow,152,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-29561-A-10.wav,[36],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,153,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-29680-A-21.wav,[41],2,2,0.0,both_wrong
ESC-50,F-vs-iKnow,154,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-30039-A-26.wav,[32],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,155,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-30043-A-26.wav,[32],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,156,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-30214-A-18.wav,[44],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,157,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-30226-A-0.wav,[18],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,158,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-30344-A-0.wav,[18],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,159,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-30709-A-23.wav,[1],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,160,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-30709-B-23.wav,[1],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,161,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-30709-C-23.wav,[1],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,162,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-30830-A-24.wav,[12],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,163,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-31251-A-6.wav,[29],33,33,0.0,both_wrong
ESC-50,F-vs-iKnow,164,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-31251-B-6.wav,[29],21,21,0.0,both_wrong
ESC-50,F-vs-iKnow,165,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-31482-A-42.wav,[40],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,166,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-31482-B-42.wav,[40],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,167,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-31748-A-21.wav,[41],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,168,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-31836-A-4.wav,[25],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,169,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-31836-B-4.wav,[25],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,170,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-32318-A-0.wav,[18],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,171,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-32373-A-35.wav,[47],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,172,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-32373-B-35.wav,[47],2,2,0.0,both_wrong
ESC-50,F-vs-iKnow,173,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-32579-A-29.wav,[21],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,174,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-33658-A-26.wav,[32],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,175,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-34094-A-5.wav,[5],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,176,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-34094-B-5.wav,[5],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,177,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-34119-A-1.wav,[37],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,178,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-34119-B-1.wav,[37],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,179,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-34495-A-14.wav,[7],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,180,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-34497-A-14.wav,[7],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,181,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-34853-A-37.wav,[10],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,182,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-35687-A-38.wav,[11],1,1,0.0,both_correct
ESC-50,F-vs-iKnow,183,/data/zkx/zkx/iknow-audio/data/ESC-50/audio/1-36164-A-26.wav,[32],1,1,0.0,both_correct
